Equip nr,Equip size,Equip type,CBL no,HBL no,Vessel,POD,ETA,Pallets new (C),Packages,Pieces,Gross Weight,Description,PO,SKU,Destination,POL,Seal no,Flow,Service level,Categorization,Delivery nr,End det freetime,T1 latest validity date,Exp delivery date,Requested slot date,Requested slot time,Replan,Replan reason,Recommended exp delivery date,Reason code,Comment Maersk,Comment LGI,Time stamp,Actual Delivery Date DC,Invoice nr,Service Level Combined - Hidden
TEMU7324753,40,HIGH,MAEU/207729937,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1320,"10.824,000",HP PRINTER,7002515818,Z3M48B#BHC,Huenxe,LAEM CHABANG,TH5967146,REPLENISHMENT - PPS,P1 – HPS,,INT0051017,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729937,P1
TGBU8886396,40,HIGH,MAEU/207729944,,MUNICH MAERSK,ROTTERDAM,2/28/2021,24,24,1008,"11.108,160",HP PRINTER,7002515212,1KR50B#BHC,Huenxe,LAEM CHABANG,TH5969891,REPLENISHMENT - PPS,P1 – HPS,,INT0050751,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729944,P1
TGBU8888700,40,HIGH,MAEU/207729937,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1848,"11.341,176",HP PRINTER,7002515451,5SE18B#BHC,Huenxe,LAEM CHABANG,TH5969889,REPLENISHMENT - PPS,P1 – HPS,,INT0050788,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729937,P1
TGBU8889163,40,HIGH,MAEU/207729954,,MUNICH MAERSK,ROTTERDAM,2/28/2021,30,30,900,"8.820,000",HP PRINTER,7002515750,P4C85A#BHC,Huenxe,LAEM CHABANG,TH5975741,REPLENISHMENT - PPS,P1 – HPS,,INT0050996,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729954,P1
TGBU9362541,40,HIGH,MAEU/207729940,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1320,"10.824,000",HP PRINTER,7002515666,K7G26B#BHC,Huenxe,LAEM CHABANG,TH5968312,REPLENISHMENT - PPS,P1 – HPS,,INT0050775,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729940,P1
TLLU5863269,40,HIGH,MAEU/207729952,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1848,"11.341,176",HP PRINTER,7002515451,5SE18B#BHC,Huenxe,LAEM CHABANG,TH5968304,REPLENISHMENT - PPS,P1 – HPS,,INT0050786,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729952,P1
TLLU5985143,40,HIGH,MAEU/207729952,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1848,"11.341,176",HP PRINTER,7002515451,5SE18B#BHC,Huenxe,LAEM CHABANG,TH5969895,REPLENISHMENT - PPS,P1 – HPS,,INT0050787,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729952,P1
TRHU4001832,40,HIGH,MAEU/207729940,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1100,"10.692,000",HP PRINTER,7002515775,Y0G50B#BHC,Huenxe,LAEM CHABANG,TH5969896,REPLENISHMENT - PPS,P1 – HPS,,INT0050768,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729940,P1
TRHU4243461,40,HIGH,MAEU/207729954,,MUNICH MAERSK,ROTTERDAM,2/28/2021,30,30,900,"8.820,000",HP PRINTER,7002515744,P4C85A#BHC,Huenxe,LAEM CHABANG,TH5969795,REPLENISHMENT - PPS,P1 – HPS,,INT0050766,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729954,P1
TRHU4845751,40,HIGH,MAEU/207729954,,MUNICH MAERSK,ROTTERDAM,2/28/2021,24,24,1008,"11.108,160",HP PRINTER,7002515255,1KR51B#BHC,Huenxe,LAEM CHABANG,TH5969904,REPLENISHMENT - PPS,P1 – HPS,,INT0050758,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729954,P1
CAAU5261496,40,HIGH,MAEU/207755387,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1320,"10.824,000",HP PRINTER,7002515675,K7S21B#BHC,Huenxe,LAEM CHABANG,TH5967871,REPLENISHMENT - PPS,P1 – HPS,,INT0051015,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207755387,P1
CAAU5693674,40,HIGH,MAEU/207729936,,MUNICH MAERSK,ROTTERDAM,2/28/2021,24,24,1008,"11.108,160",HP PRINTER,7002515359,257G4B#629,Huenxe,LAEM CHABANG,TH5967816,REPLENISHMENT - PPS,Standard – HP,,INT0050973,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729936,Standard – HP
HASU1247347,20,DRY,MAEU/207755387,,MUNICH MAERSK,ROTTERDAM,2/28/2021,10,10,1200,"4.800,000",HP PRINTER,7002515508,CZ992A#670,Huenxe,LAEM CHABANG,TH5967778,REPLENISHMENT - PPS,P1 – HPS,,INT0051022,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207755387,P1
MRSU3301663,40,HIGH,MAEU/207755387,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1320,"10.824,000",HP PRINTER,7002515675,K7S21B#BHC,Huenxe,LAEM CHABANG,TH5965374,REPLENISHMENT - PPS,P1 – HPS,,INT0051014,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207755387,P1
MRSU3595193,40,HIGH,MAEU/207729936,,MUNICH MAERSK,ROTTERDAM,2/28/2021,26,26,936,"9.734,400",HP PRINTER,7002515282,1KR66B#BHC,Huenxe,LAEM CHABANG,TH5965291,REPLENISHMENT - PPS,P1 – HPS,,INT0050948,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729936,P1
TCKU6430904,40,HIGH,MAEU/207729936,,MUNICH MAERSK,ROTTERDAM,2/28/2021,30,30,900,"8.820,000",HP PRINTER,7002515750,P4C85A#BHC,Huenxe,LAEM CHABANG,TH5965463,REPLENISHMENT - PPS,P1 – HPS,,INT0051000,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729936,P1
TCKU7435433,40,HIGH,MAEU/207729936,,MUNICH MAERSK,ROTTERDAM,2/28/2021,30,30,900,"8.820,000",HP PRINTER,7002515750,P4C85A#BHC,Huenxe,LAEM CHABANG,TH5967820,REPLENISHMENT - PPS,P1 – HPS,,INT0050999,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729936,P1
TCKU7718449,40,HIGH,MAEU/207729936,,MUNICH MAERSK,ROTTERDAM,2/28/2021,22,22,1848,"11.341,176",HP PRINTER,7002665467,5SE22C#670,Huenxe,LAEM CHABANG,TH5965278,REPLENISHMENT - PPS,P1 – HPS,,INT0051094,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207729936,P1
TCLU2403615,20,DRY,MAEU/207755387,,MUNICH MAERSK,ROTTERDAM,2/28/2021,10,10,1600,"5.280,000",HP PRINTER,7002515525,CZ993A#BHC,Huenxe,LAEM CHABANG,TH5968063,REPLENISHMENT - PPS,P1 – HPS,,INT0051019,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207755387,P1
TEMU2537360,20,DRY,MAEU/207755387,,MUNICH MAERSK,ROTTERDAM,2/28/2021,12,12,420,"4.628,400",HP PRINTER,7002515364 7002515373,257G4B#686 257G4B#687,Huenxe,LAEM CHABANG,TH5968066,REPLENISHMENT - PPS,Standard – HP,,INT0050974 INT0050976,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207755387,Standard – HP
MRSU4061021,40,HIGH,MAEU/207549198,,MUNICH MAERSK,ROTTERDAM,2/28/2021,18,59,655,"1.742,800",SERVICE FLUID,7002481458 7002632128 7002632129,W1B44A W1B45A,Huenxe,TANJUNG PELEPAS,MY0420957,REPLENISHMENT - PPS,Standard – HP,,AFQ0007797 AFQ0007798 AFQ0007799,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207549198,Standard – HP
DFSU7170656,40,HIGH,PNVO/WH602000,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,48,48,240,"5.928,000",SL-PFP502D/HPH,7002526080,Y1F97A,Huenxe,QINGDAO,P850780,SDS,Standard – HP,,SDP1101115,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029377,Standard – HP
FCIU7195748,40,HIGH,PNVO/WH599830,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,25,25,300,"3.945,000",SL-DSK502T/HPH,7002526126,Y1G17A,Huenxe,QINGDAO,P856678,SDS,Standard – HP,,SDP1100980,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029226,Standard – HP
FFAU3035092,40,HIGH,PNVO/WH599900,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,28,28,56,"7.467,040",SL-X7400GX/HPH,7002526066,X3A76A#B19,Huenxe,QINGDAO,P850665,SDS,Standard – HP,,SDP1101088,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029290,Standard – HP
MAGU5240800,40,HIGH,PNVO/WH609650,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,39,39,78,"6.630,000",SL-K4250LX/HPH,7002526062,X3A67A#B19,Huenxe,QINGDAO,P850624,SDS,Standard – HP,,SDP1101228,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029364,Standard – HP
OOCU7072132,40,HIGH,PNVO/WH601020,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,39,39,78,"6.630,000",SL-K4250LX/HPH,7002526062,X3A67A#B19,Huenxe,QINGDAO,P850663,SDS,Standard – HP,,SDP1101112,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029291,Standard – HP
OOCU7141017,40,HIGH,PNVO/WH599900,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,39,39,78,"8.346,000",8GR94A#B19,7002526050,8GR94A#B19,Huenxe,QINGDAO,P850706,SDS,Standard – HP,,SDP1101087,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029290,Standard – HP
OOLU8684226,40,HIGH,PNVO/WH601020,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,28,28,56,"6.720,000",SL-X7401DT/HPH,7002525938,5CM63A#B19,Huenxe,QINGDAO,P850664,SDS,Standard – HP,,SDP1101091,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029291,Standard – HP
OOLU9975782,40,HIGH,PNVO/WH599900,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,28,28,56,"7.467,040",SL-X7400GX/HPH,7002526066,X3A76A#B19,Huenxe,QINGDAO,P850628,SDS,Standard – HP,,SDP1101089,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029290,Standard – HP
TEMU7813179,40,HIGH,PNVO/WH609650,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,72,72,660,"7.127,400",SL-M2090W/SEE 6HU08A#B19,7002525884 7002525886 7002525956,4ZB83A#B19 6HU08A#B19,Huenxe,QINGDAO,P850748,SDS,P1 – HPS,,SDP1101124 SDP1101123 SDP1101122,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029364,P1
TGBU8709560,40,HIGH,PNVO/WH602000,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,76,76,174,"6.476,700",SL-PFP501D/HPH SL-FIN701H/HPH,7002526095 7002526129,Y1F98A Y1G18A,Huenxe,QINGDAO,P850732,SDS,Standard – HP,,SDP1101340 SDP1101341,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029377,Standard – HP
TLLU5247160,40,HIGH,MAEU/207946584,,MUNICH MAERSK,ROTTERDAM,2/28/2021,18,18,450,"1.710,000",SERVICE FLUID,7002632126 7002632127,W1B44A,Huenxe,TANJUNG PELEPAS,MY0573316,REPLENISHMENT - PPS,Standard – HP,,AFQ0007820 AFQ0007821,3/19/2021,To be created,3/5/2021,,,,,,,,,,,MAEU207946584,Standard – HP
BEAU5652523,40,HIGH,PNVO/WH601020,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,84,84,256,"5.360,000",7YG00A SL-PFP502D/HPH,7002526013 7002526080,7YG00A Y1F97A,Huenxe,QINGDAO,P856672,SDS,Standard – HP,,SDP1101114 SDP1101113,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029291,Standard – HP
TRHU5376140,40,HIGH,PNVO/WH599830,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,24,24,480,"8.352,000",6HU09A#B19,7002525969,6HU09A#B19,Huenxe,QINGDAO,P856752,SDS,P1 – HPS,,SDP1100949,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029225,P1
CCLU7338943,40,HIGH,PNVO/WH599830,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,26,26,832,"10.400,000",SL-C431/SEE,7002525899,4ZB94A#B19,Huenxe,QINGDAO,P856798,SDS,P1 – HPS,,SDP1100951,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029225,P1
CSLU6332601,40,HIGH,PNVO/WH599900,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,28,28,56,"7.467,040",SL-X7400GX/HPH,7002526066,X3A76A#B19,Huenxe,QINGDAO,P850662,SDS,Standard – HP,,SDP1101090,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029290,Standard – HP
CSNU6286801,40,HIGH,PNVO/WH602000,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,39,39,78,"6.630,000",SL-K4250LX/HPH,7002526062,X3A67A#B19,Huenxe,QINGDAO,P850749,SDS,Standard – HP,,SDP1101116,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029377,Standard – HP
CSNU6503300,40,HIGH,PNVO/WH601020,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,99,99,195,"4.391,070",7UQ76A#B19 8AF72A#B19 SL-DSK501T/HPH,7002526002 7002526040 7002526120,7UQ76A#B19 8AF72A#B19 Y1G16A,Huenxe,QINGDAO,P850629,SDS,Standard – HP,,SDP1101094 SDP1101092 SDP1101093,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029292 9000029294,Standard – HP
CSNU6557333,40,HIGH,PNVO/WH599830,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,110,110,892,"8.427,700",209U6A#B19 209U7A#B19 SL-M2040R/XEV 6HU09A#B19 6HU11A#B19,7002525840 7002525847 7002525942 7002525969 7002525977,209U6A#B19 209U7A#B19 5UE14A#B19 6HU09A#B19 6HU11A#B19,Huenxe,QINGDAO,P856792,SDS,P1 – HPS,,SDP1101002 SDP1100954 SDP1100955 SDP1100952 SDP1100953,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029225,P1
CSNU7075059,40,HIGH,PNVO/WH609650,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,24,24,576,"9.273,600",6HU08A#B19,7002525956,6HU08A#B19,Huenxe,QINGDAO,P850777,SDS,P1 – HPS,,SDP1101121,3/19/2021,To be created,3/5/2021,,,,,,,,,,,9000029364,P1
TCLU1035376,40,HREF,CMDU/DNCA006186,,COSCO SHIPPING LEO,ROTTERDAM,2/28/2021,18,18,576,"1.810,800",HP PM KIT 220V,5200727342 5200727343,CF065A F2G77A,Huenxe,DALIAN,F7454946,CANON,Standard – HP,,5200727342,3/16/2021,To be created,3/5/2021,,,,,,,,,,,2101100003489,Standard – HP
CBHU7074537,40,HIGH,PNVO/WH686300,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,21,21,630,"7.266,000",PRINTER,NA,5HG93A#B19,Huenxe,QINGDAO,P853183,REPLENISHMENT - PPS - KR20,Standard – HP,,JW00082105,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
CCLU7947913,40,HIGH,PNVO/WH684350,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,21,21,630,"10.111,500",PRINTER,7002609473,W1A29A#B19,Huenxe,QINGDAO,P853155,REPLENISHMENT - PPS,Standard – HP,,JAW0085698,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
CSNU1767023,20,DRY,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,10,10,350,"3.857,000",HP PRINTER,7002515261,1KR55B#BHC,Huenxe,LAEM CHABANG,18575576,REPLENISHMENT - PPS,Standard – HP,,INT0050761,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
CSNU6543073,40,HIGH,PNVO/WH684350,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,21,21,504,"11.333,952",PRINTER,7002548617,7KW74A#B19,Huenxe,QINGDAO,P851760,REPLENISHMENT - PPS,Standard – HP,,JAW0085626,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
CSNU7256313,40,HIGH,PNVO/WH686300,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,22,22,660,"7.590,000",PRINTER,NA,5HG93A#B19,Huenxe,QINGDAO,P850657,REPLENISHMENT - PPS - KR20,Standard – HP,,JW00082104,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
CSNU7859997,40,HIGH,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,26,26,936,"9.734,400",HP PRINTER,7002515284,1KR66B#BHC,Huenxe,LAEM CHABANG,18575566,REPLENISHMENT - PPS,Standard – HP,,INT0050741,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
CSNU8081668,40,HIGH,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,30,30,900,"8.820,000",HP PRINTER,7002515744,P4C85A#BHC,Huenxe,LAEM CHABANG,18575467,REPLENISHMENT - PPS,Standard – HP,,INT0050763,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
FCIU5477819,20,DRY,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,10,10,350,"3.857,000",HP PRINTER,7002515261,1KR55B#BHC,Huenxe,LAEM CHABANG,18575567,REPLENISHMENT - PPS,Standard – HP,,INT0050760,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
OOCU7544080,40,HIGH,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,22,22,1848,"11.341,176",HP PRINTER,7002515433,5SE16B#BHC,Huenxe,LAEM CHABANG,18575578,REPLENISHMENT - PPS,Standard – HP,,INT0050798,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
TGBU8851759,40,HIGH,PNVO/WH684350,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,21,21,630,"9.891,000",PRINTER,7002609515,3PZ75A#B19,Huenxe,QINGDAO,P853074,REPLENISHMENT - PPS,Standard – HP,,JAW0085692,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
TGBU8870255,40,HIGH,PNVO/WH686300,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,22,22,660,"7.590,000",PRINTER,NA,5HG93A#B19,Huenxe,QINGDAO,P851793,REPLENISHMENT - PPS - KR20,Standard – HP,,JW00082103,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
TRHU4202478,40,HIGH,PNVO/WH684350,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,21,21,630,"9.865,800",PRINTER,7002609511,3PZ55A#B19,Huenxe,QINGDAO,P851790,REPLENISHMENT - PPS,Standard – HP,,JAW0085668,3/21/2021,To be created,3/7/2021,,,,,,,,,,,,Standard – HP
TRHU4527642,40,HIGH,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,24,24,1440,"10.349,280",HP PRINTER,7002515424,5SD78C#670,Huenxe,LAEM CHABANG,18575464,REPLENISHMENT - PPS,Standard – HP,,INT0050799,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
UETU2492489,20,DRY,PNVO/SNZ1377800,,COSCO SHIPPING CAPRICON,ROTTERDAM,3/2/2021,10,10,350,"3.857,000",HP PRINTER,7002515261,1KR55B#BHC,Huenxe,LAEM CHABANG,18575445,REPLENISHMENT - PPS,Standard – HP,,INT0050759,3/21/2021,To be created,3/7/2021,,,,,,,,,,,PNVOSNZ1377800,Standard – HP
BMOU4734540,40,HIGH,PNVO/WH458370,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,26,26,624,"7.238,400",SL-M2090FW/SEE,7002525892,4ZB84A#B19,Huenxe,QINGDAO,P851785,SDS,Standard – HP,,SDP1101288,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029392,Standard – HP
CCLU7722521,40,HIGH,PNVO/WH458370,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,22,22,1980,"11.286,000",SL-M2040/SEE,7002525856,4ZB77A#B19,Huenxe,QINGDAO,P851693,SDS,Standard – HP,,SDP1101287,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029392,Standard – HP
CSNU8039138,40,HIGH,PNVO/WH455730,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,170,170,246,"8.097,100",SL-M2040W/SEE SL-C431/SEE SL-C431W/SEE 8GR94A#B19 SL-K4250LX/HPH,7002525865 7002525897 7002525910 7002526050 7002526062,4ZB78A#B19 4ZB94A#B19 4ZB95A#B19 8GR94A#B19 X3A67A#B19,Huenxe,QINGDAO,P851703,SDS,Standard – HP,,SDP1101283 SDP1101284 SDP1101285 SDP1101281 SDP1101282,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029391,Standard – HP
MAGU5527386,40,HIGH,PNVO/WH455730,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,104,104,644,"7.672,800",SL-M2090FW/SEE SL-C431/SEE 6HU09A#B19 6HU12A#B19,7002525892 7002525897 7002525967 7002525987,4ZB84A#B19 4ZB94A#B19 6HU09A#B19 6HU12A#B19,Huenxe,QINGDAO,P851701,SDS,Standard – HP,,SDP1101280 SDP1101277 SDP1101278 SDP1101279,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029391,Standard – HP
OOCU7036855,40,HIGH,PNVO/WH458370,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,46,46,508,"8.464,800",SL-C481FW/SEE 6HU08A#B19,7002525928 7002525960,4ZB97A#B19 6HU08A#B19,Huenxe,QINGDAO,P851610,SDS,Standard – HP,,SDP1101290 SDP1101289,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029392,Standard – HP
TCNU1322244,40,HIGH,PNVO/WH455730,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,42,42,126,"4.693,500",8AF72A#B19,7002526042,8AF72A#B19,Huenxe,QINGDAO,P851704,SDS,Standard – HP,,SDP1101286,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029391,Standard – HP
TEMU7323274,40,HIGH,PNVO/WH455730,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,42,42,126,"3.878,280",8AF43A#B19 8AF71A#B19,7002526016 7002526031,8AF43A#B19 8AF71A#B19,Huenxe,QINGDAO,P851709,SDS,Standard – HP,,SDP1101275 SDP1101276,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029391,Standard – HP
BMOU4808787,40,HIGH,PNVO/WH456060,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,28,28,56,"7.467,040",SL-X7400GX/HPH,7002526064,X3A76A#B19,Huenxe,QINGDAO,P851798,SDS,Standard – HP,,SDP1101355,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029405,Standard – HP
CSNU6748089,40,HIGH,PNVO/WH457080,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,75,75,378,"6.554,820",SL-C431W/SEE 8AF52A#B19 SL-FIN701H/HPH,7002525910 7002526027 7002526127,4ZB95A#B19 8AF52A#B19 Y1G18A,Huenxe,QINGDAO,P853152,SDS,Standard – HP,,SDP1101484 SDP1101428 SDP1101485,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029440,Standard – HP
CSNU7753515,40,HIGH,PNVO/WH457700,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,39,39,78,"8.346,000",8GR94A#B19,7002526048,8GR94A#B19,Huenxe,QINGDAO,P851747,SDS,Standard – HP,,SDP1101453,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029406,Standard – HP
OOCU8170154,40,HIGH,PNVO/WH456660,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,140,140,684,"6.410,912",SL-C481FW/SEE SL-STP000/HPH SL-FIN701H/HPH SL-DPX501/HPH SCX-STP000/HPH,7002525928 7002526118 7002526129 7002526133 7002639069,4ZB97A#B19 Y1G14A Y1G18A Y1G23A Y1G13A,Huenxe,QINGDAO,P853104,SDS,Standard – HP,,SDP1101399 SDP1101398 SDP1101401 SDP1101400 SDP1101402,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029408 9000029407,Standard – HP
OOLU8271182,40,HIGH,PNVO/WH456660,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,81,81,980,"11.026,000",SL-M2040/SEE SL-C431/SEE SL-C431W/SEE,7002525856 7002525897 7002525910,4ZB77A#B19 4ZB94A#B19 4ZB95A#B19,Huenxe,QINGDAO,P853182,SDS,Standard – HP,,SDP1101392 SDP1101361 SDP1101393,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029409,Standard – HP
OOLU8985359,40,HIGH,PNVO/WH456660,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,44,44,1980,"11.358,900",SL-M2040/SEE SL-M2040W/SEE,7002525856 7002525862,4ZB77A#B19 4ZB78A#B19,Huenxe,QINGDAO,P853193,SDS,Standard – HP,,SDP1101395 SDP1101394,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029409,Standard – HP
TCNU3897720,40,HIGH,PNVO/WH456060,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,28,28,56,"7.467,040",SL-X7400GX/HPH,7002526064,X3A76A#B19,Huenxe,QINGDAO,P851648,SDS,Standard – HP,,SDP1101356,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029405,Standard – HP
TGBU8866126,40,HIGH,PNVO/WH456060,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,72,72,548,"9.004,800",SL-C481W/SEE SL-C481FW/SEE 6HU08A#B19,7002525915 7002525928 7002525960,4ZB96A#B19 4ZB97A#B19 6HU08A#B19,Huenxe,QINGDAO,P851794,SDS,Standard – HP,,SDP1101357 SDP1101359 SDP1101358,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029405,Standard – HP
TGBU9265897,40,HIGH,PNVO/WH456060,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,24,24,480,"8.352,000",SL-C481FW/SEE,7002525928,4ZB97A#B19,Huenxe,QINGDAO,P856614,SDS,Standard – HP,,SDP1101360,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029405,Standard – HP
TLLU5733244,40,HIGH,PNVO/WH456660,,COSCO SHIPPING CAPRICORN,ROTTERDAM,3/2/2021,102,102,198,"7.526,200",SL-C481FW/SEE SL-HCF502B/HPH SL-FIN701B/HPH,7002525928 7002526100 7002526106,4ZB97A#B19 Y1F99A Y1G07A,Huenxe,QINGDAO,P853180,SDS,Standard – HP,,SDP1101397 SDP1101470 SDP1101471,3/21/2021,To be created,3/7/2021,,,,,,,,,,,9000029409,Standard – HP
