BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:CH,"1295,43",J8J72A#BAZ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:EUR,"1295,43",J8J72A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:SA,"1295,43",J8J72A#B13,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:ZA,"1295,43",J8J72A#ACQ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:DK,"1295,43",J8J72A#ABY,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE FLOW MFP M632Z,J8J72A,HP LJ Ent Flow MFP M632z Prntr:IL,"1295,43",J8J72A#ABT,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,HPLJENTMFPM632FHT,J8J71V,HP LJ Ent MFP M632fht EMU2 Prntr:EUR,"296,06",J8J71V#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:CH,"1295,43",J8J71A#BAZ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:EUR,"1295,43",J8J71A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:SA,"1295,43",J8J71A#B13,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:ZA,"1295,43",J8J71A#ACQ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:DK,"1295,43",J8J71A#ABY,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632FHT,J8J71A,HP LJ Ent MFP M632fht Prntr:IL,"1295,43",J8J71A#ABT,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632H,J8J70A,HP LJ Ent MFP M632h Prntr:CH,"1295,43",J8J70A#BAZ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632H,J8J70A,HP LJ Ent MFP M632h Prntr:EUR,"1295,43",J8J70A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632H,J8J70A,HP LJ Ent MFP M632h Prntr:SA,"1295,43",J8J70A#B13,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,ION,LJ ENTERPRISE MFP M632H,J8J70A,HP LJ Ent MFP M632h Prntr:ZA,"1295,43",J8J70A#ACQ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
