BUSINESS_SUB_GROUP_NM,PRODUCT_LINE_CD,PLATFORM_NM,MODEL_NM,PRODUCT_MODEL_NR,PART_DN,STD_PRICE_USD_AM,PART_NR,UNRESTRICTED_QT,EXTRACT_TS
HPS Printers,2N,TACCOLA I-INK,HP DeskJet 2721 All-in-One Pri,7FR54B,HP DeskJet 2721 AiO Prntr:EU-XMO2-EUR-UK,"34,88",7FR54B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,POSEIDON WL,HP Smart Tank 515 Wireless All,1TJ09A,HP Smart Tank 515 AiO Printer:E EUR/RU,"72,26",1TJ09A#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,DU,RUBY,HP OFFICEJET 202 MOBILE PRINTE,N4K99C,HP OfficeJet 202 Mobile Printer:E EUR/RU,"91,97",N4K99C#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,G8,Agate 1.2,HP Color LaserJet Managed MFP,8GS50A,HP Clr LJ Mgd MFP E78223-28dn Base:EU,"1266,08",8GS50A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,NOT SPECIFIED,RATCHET MFP,209U6A,HP Laser MFP 135wr Printer:EUR,"85,65",209U6A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,LHASA WL,HP DeskJet 3762 All-in-One Pri,T8X23B,HP DeskJet 3762 All-in-One Printer:UK/IE,"34,24",T8X23B#BEV,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MUSCATEL LITE,HP OfficeJet 6950 All-in-One P,P4C85A,HP OfficeJet 6950 AiO Printer:EUR/UK,"94,28",P4C85A#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IF,LUZON,HP Sprocket Studio,3MP72A,HP Sprocket Studio Snow Printer:EU,"60,53",3MP72A#648,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,GS,TAHITI,HP LaserJet Enterprise M806dn,CZ244A,HP LaserJet M806dn Printer:EUR Multi,"1648,03",CZ244A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN I-INK,HP OfficeJet Pro 9013 All-in-O,1KR49B,HP OfficeJet Pro 9013 AiO Prntr:IL-he,"135,43",1KR49B#ABT,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4122 All-in-On,7FS79B,HP DeskJet Plus 4122 AiO Prntr:E EUR/RU,"42,84",7FS79B#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MA,WRIGLEY MANAGED,HP LASERJET MANAGED E40040DN,3PZ35A,HP LaserJet Managed E40040dn Prntr:EU,"177,22",3PZ35A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN HI I-INK,HP OfficeJet Pro 9025 All-in-O,3UL05B,HP OfficeJet Pro 9025 AiO Prntr:EUR/UK,"158,96",3UL05B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,NOT SPECIFIED,MANHATTAN YET1,226Y0B,HP OfficeJet Pro 9022e AiO Prntr:EU-XMO2,"156,35",226Y0B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Malbec Lite,HP OfficeJet 8012 All-in-One P,1KR71B,HP OfficeJet 8012 AiO Printer:EUR/UK,"92,48",1KR71B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,CLEARWATER 4:1,HP Color LaserJet Pro MFP M479,W1A78A,HP Color LJ Pro MFP M479fnw Prntr:EUR,"237,03",W1A78A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,GS,ANNAPURNA,HP LaserJet Enterprise 700 Pri,CF236A,HP LJ ENT 700 M712dn Prntr:EURMulti,"822,7",CF236A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,LE,,HP LaserJet MFP M234dwe Printe,9YF91EV,HP LJ MFP M234dwe Lyl EMU2 Prntr:DE,"106,17",9YF91EV#ABD,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Chromia,HP COLOR LASER 150NW,4ZB95A,HP Color Laser 150nw Printer:EUR,"138,54",4ZB95A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,GEMs,HP LaserJet 2000-sheet HCI Inp,Y1G21A,HP LaserJet Dept 2000 Sht Hgh Cpcty Tray,"193,89",Y1G21A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Weber PDL,HP OfficeJet Pro 8730 All-in-O,D9L20A,HP OJP 8730 All-in-One PrinterEUR/ME/AFR,"223,68",D9L20A#A80,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,Epic,HP LaserJet Pro 500 color MFP,CZ271A,HP LJ Pro 500 Clr MFP M570dn Prntr:EU,"409,85",CZ271A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Jolt,HP COLOR LASER MFP 178NW,4ZB96A,HP Color Laser MFP 178nw Printer:EUR,"163,73",4ZB96A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,GEMs,HP LaserJet Booklet Finisher,Y1G07A,HP LaserJet Booklet Finisher,"881,93",Y1G07A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,Gems Accy,HP LASERJET INNER FINISHER HOL,Y1G03A,HP LaserJet Inner Finisher Hole2/4 Punch,"107,1",Y1G03A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Tesla PDL,HP OFFICEJET PRO 8210 PRINTER,D9L63A,HP OfficeJet Pro 8210 Printer:EUR/ME/AFR,"136,21",D9L63A#A81,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,PALERMO LO,HP ENVY Photo 6232 All-in-One,K7G26B,HP ENVY Photo 6232 AiO Printer:EUR/UK,"70,41",K7G26B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,POSEIDON WL,HP Smart Tank 516 Wireless All,3YW70A,HP Smart Tank 516 AiO Printer:E EUR/RU,"72,26",3YW70A#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,VASARI PLUS I-INK,HP ENVY Pro 6420 All-in-One Pr,5SE45B,HP Envy Pro 6420 AiO Printer:EUR/UK,"63,71",5SE45B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,VASARI BASE I-INK,HP ENVY 6010 All-in-One Printe,5SE20B,HP Envy 6010 AiO Printer:EUR/UK,"57,71",5SE20B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MUSCATEL LITE,HP OfficeJet 6950 All-in-One P,P4C78A,HP OfficeJet6950 AiO Prntr:EU-EUR/NRD/RU,"94,28",P4C78A#625,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,PALERMO LO,HP ENVY Photo 6230 All-in-One,K7G25B,HP ENVY Photo 6230 AiO Printer:EUR/UK,"70,41",K7G25B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,G8,Jade 1.2,HP Color LaserJet Managed Flow,8GR98A,HP Clr LJMgdFlw MFPE78323-30z Base:EU,"1658,64",8GR98A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,IT,Quartz 1.1,HP LaserJet MFP M442dn,8AF71A,HP LaserJet M442dn MFP Prntr:EU,"293,76",8AF71A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,Gawain 3:1 Base,HP LaserJet Pro MFP M28a Print,W2G54A,HP LaserJet Pro MFP M28a Printer:EUR,"72,79",W2G54A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,GT,UNKNGT,HP LaserJet Stapler/Stacker,CZ994A,HP LaserJet Stapler Stacker,"1298,46",CZ994A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,LHASA WL,HP DeskJet 3762 All-in-One Pri,T8X23B,HP DeskJet 3762 All-in-One Printer:UK/IE,"34,24",T8X23B#BEV,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,VASARI BASE I-INK,HP ENVY 6010 All-in-One Printe,5SE20B,HP Envy 6010 AiO Printer:EUR/UK,"57,71",5SE20B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Tesla PDL,HP OFFICEJET PRO 8210 PRINTER,D9L63A,HP OfficeJet Pro 8210 Printer:EUR/ME/AFR,"136,21",D9L63A#A81,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MA,WRIGLEY MANAGED,HP LASERJET MANAGED E40040DN,3PZ35A,HP LaserJet Managed E40040dn Prntr:EU,"177,22",3PZ35A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,Arthur Base,HP LaserJet Pro M15a Printer,W2G50A,HP LaserJet Pro M15a Printer:EUR,"56,57",W2G50A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,BELLATRIX,HP Color LaserJet Pro MFP M182,7KW54A,HP Color LaserJet Pro MFP M182n:EUR,"172,36",7KW54A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,Quartz Accessory,HP LaserJet 100-sheet Reverse,X0R65A,HP LaserJet 100 Sheet Reverse ADF Accy,"68,36",X0R65A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN HI I-INK,HP OfficeJet Pro 9025 All-in-O,3UL05B,HP OfficeJet Pro 9025 AiO Prntr:EUR/UK,"158,96",3UL05B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,SHIMANTO,HP COLOR LASERJET PRO M454DN,W1Y44A,HP Color LJ Pro M454dn Prntr:EUR,"193,16",W1Y44A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,GEMs,HP LaserJet Booklet Finisher,Y1G07A,HP LaserJet Booklet Finisher,"881,93",Y1G07A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,CLEARWATER 3:1,HP Color LaserJet Pro MFP M479,W1A77A,HP Color LJ Pro MFP M479dw Prntr:EUR,"253,14",W1A77A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IF,LUZON,HP Sprocket Studio,3MP72A,HP Sprocket Studio Snow Printer:EU,"65,7",3MP72A#649,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MUSCATEL LITE,HP OfficeJet 6950 All-in-One P,P4C85A,HP OfficeJet 6950 AiO Printer:EUR/UK,"94,28",P4C85A#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Malbec Lite,HP OfficeJet 8015 All-in-One P,4KJ69B,HP OfficeJet 8015 AiO Printer:EUR/UK,"92,48",4KJ69B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,Teton 3:1,HP LASERJET PRO MFP M428DW,W1A28A,HP LaserJet Pro MFP M428dw Printer:DK,"190,18",W1A28A#ABY,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4120 All-in-On,3XV14B,HP DJ Plus 4120 AiO Prntr:EU-XMO2-EUR-UK,"42,84",3XV14B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4122 All-in-On,7FS79B,HP DJ Plus 4122 AiO Prntr:UK/IE/ME-en/ar,"42,55",7FS79B#672,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,KOBE,HP LASERJET ENTERPRISE M507X,1PV88A,HP LaserJet Ent M507x Printer:EUR,"358,65",1PV88A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,IS,BLACKBIRD,HP PageWide Enterprise Color F,G1W41A,HP PW Ent Clr Flow MFP 586z Prntr:EU,"1043,54",G1W41A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Ratchet,HP LASER MFP 135A,4ZB82A,HP Laser MFP 135a Printer:EUR,"82,78",4ZB82A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Ratchet,HP LASER MFP 135W,4ZB83A,HP Laser MFP 135w Printer:EUR,"85,87",4ZB83A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,SHIMANTO,HP COLOR LASERJET PRO M454DW,W1Y45A,HP Color LJ Pro M454dw Prntr:EUR,"211,9",W1Y45A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Ratchet,HP LASER MFP 137FNW,4ZB84A,HP Laser MFP 137fnw Printer:EUR,"108,46",4ZB84A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Ratchet,HP LASER MFP 135A,4ZB82A,HP Laser MFP 135a Printer:EUR,"82,78",4ZB82A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,G8,JADE,HP Color LaserJet Managed MFP,X3A61A,HP Color LaserJet WG Mngd MFP Prntr:EU,"1400,14",X3A61A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA I-INK,HP DeskJet 2720 All-in-One Pri,3XV18B,HP DeskJet 2720 AiO Prntr:UK/IE/ME-en/ar,"34,71",3XV18B#672,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,SHIMANTO,HP COLOR LASERJET PRO M454DW,W1Y45A,HP Color LJ Pro M454dw Prntr:CH,"211,9",W1Y45A#BAZ,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,Palermo Hi,HP ENVY Photo 7830 All-in-One,Y0G50B,HP ENVY Photo 7830 AiO Printer:EUR/UK,"91,31",Y0G50B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA MINUS I-INK,HP DeskJet 2710 All-in-One Pri,5AR83B,HP DeskJet 2710 AiO Prntr:EU-XMO2-EUR-UK,"34,78",5AR83B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,6A,ATOM Accessory,HP LaserJet 2100 Sheet Paper T,L0H18A,HP LaserJet 2100 Sheet Paper Feeder,"228,12",L0H18A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,6A,NOT SPECIFIED,HP LaserJet 550-sheet Feeder T,CF404A,HP LaserJet 550 Sheet Feeder Tray,"65,16",CF404A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,Poseidon ADF EM,HP Smart Tank 530 Wireless All,4SB24A,HP Smart Tank 530 AiO Printer:EE/LV/LT,"85,04",4SB24A#BFR,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,MC,Gems Accy,HP LaserJet Inner Finisher,Y1G00A,HP LaserJet Inner Finisher,"258,76",Y1G00A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4122 All-in-On,7FS79B,HP DJ Plus 4122 AiO Prntr:EU-XMO2-EUR-UK,"42,84",7FS79B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,DU,ELLIS HI,HP OfficeJet Pro 7730 Wide For,Y0S19A,HP OJ Pro 7730 Wide Format AiOEUR/ME/AFR,"199,21",Y0S19A#A80,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,POSEIDON WL,HP Smart Tank 516 Wireless All,3YW70A,HP Smart Tank 516 AiO Printer:E EUR/RU,"72,26",3YW70A#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,MANHATTAN,HP OfficeJet Pro 9010 All-in-O,3UK83B,HP OfficeJet Pro 9010 AiO Prtr:EU/ME/AFR,"135,43",3UK83B#A80,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA I-INK,HP DeskJet 2723 All-in-One Pri,7FR55B,HP DeskJet 2723 AiO Prntr:EU-XMO2-EUR-UK,"34,88",7FR55B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,Poseidon ADF EM,HP Smart Tank 530 Wireless All,4SB24A,HP Smart Tank 530 AiO Printer:E EUR/RU,"85,04",4SB24A#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,Palermo Lo - D,HP ENVY Photo 7134 All-in-One,Z3M48B,HP ENVY Photo 7134 AiO Printer:EUR/UK,"77,19",Z3M48B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,HOMER,HP LaserJet Pro MFP M521dn,A8P79A,HP LJ Pro MFP M521dn Printer:EU Multi,"365,57",A8P79A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,E4,Chromia,HP COLOR LASER 150A,4ZB94A,HP Color Laser 150a Printer:EUR,"134,88",4ZB94A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,LARK,HP LASERJET PRO MFP M130FW,G3Q60A,HP LJ Pro MFP M130fw Prntr:EURMulti,"133,01",G3Q60A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,Verona,HP ENVY 5030 All-in-One Printe,M2U92B,HP Envy 5030 All-in-One:EUR/UK,"56,52",M2U92B#BHC,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,C5,Titanium,HP LASERJET ENTERPRISE M611DN,7PS84A,HP LaserJet Ent M611dn Printer:EUR,"437,83",7PS84A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,G8,Onyx 25 Managed,HP LaserJet Managed MFP E72425,5CM70A,HP LJ Managed MFP E72425dv Prntr:EU,"849,35",5CM70A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA PLUS I-INK,HP DeskJet Plus 4120 All-in-On,3XV14B,HP DJ Plus 4120 AiO Prntr:EU-XMO2-EUR-UK,"42,84",3XV14B#629,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,GC,Poseidon ADF EM,HP Smart Tank 530 Wireless All,4SB24A,HP Smart Tank 530 AiO Printer:E EUR/RU,"85,04",4SB24A#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,TACCOLA MINUS I-INK,HP DeskJet 2710 All-in-One Pri,5AR83B,HP DeskJet 2710 AiO Prntr:UK/IE/ME-en/ar,"34,59",5AR83B#672,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2N,Wudang RF,HP DeskJet 2320 All-in-One Pri,7WN42B,HP DeskJet 2320 AiO Printer:E EUR/RU,"27,1",7WN42B#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,Tesla PDL,HP OFFICEJET PRO 8218 PRINTER,J3P68A,HP OfficeJet Pro 8218 PrinterEUR/ME/AFR,"137,59",J3P68A#A81,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,GS,CAMAS,HP Color LaserJet Enterprise M,A2W77A,HP Color LJ M855dn Printer:EURMulti,"1579,35",A2W77A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,Teton 3:1,HP LASERJET PRO MFP M428DW,W1A28A,HP LaserJet Pro MFP M428dw Printer:EUR,"186,78",W1A28A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,7T,AGAVE OJP DWN,HP OfficeJet Pro 6230 ePrinter,E3E03A,HP OJ Pro 6230 ePrinter:EUR/ME/AFR,"75,36",E3E03A#A81,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,4H,SHAOLIN PLUS IA,HP DeskJet Ink Advantage 3835,F5R96C,HP DeskJet IA 3835 AiO Printer:E EUR/RU,"61,04",F5R96C#A82,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,6A,NOT SPECIFIED,HP Jetdirect 2900nw Print Serv,J8031A,HP Jetdirect 2900nw Print Server:W.EUR,"28,71",J8031A#UUS,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,MEISSA,HP Color LaserJet Pro M255dw,7KW64A,HP Color LaserJet Pro M255dw Prntr:EUR,"206,63",7KW64A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,VASARI IA,HP DeskJet Plus Ink Advantage,5SE22C,HP DJ Plus IA 6075 AiO Prntr:E EUR/RU,"56,5",5SE22C#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,2Q,SEAGULL,HP LaserJet Pro M203dw Printer,G3Q47A,HP LJ Pro M203dw Prntr:EUR,"95,07",G3Q47A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,5M,VASARI PLUS IA,HP DeskJet Plus Ink Advantage,5SD78C,HP DJ Plus IA 6475 AiO Prntr:E EUR/RU,"62,54",5SD78C#670,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
OPS Printers,8A,CLEARWATER 4:1,HP Color LaserJet Pro MFP M479,W1A80A,HP Color LJ Pro MFP M479fdw Prntr:EUR,"265,75",W1A80A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IR,WOLVERINE,HP Neverstop Laser 1001nw,5HG80A,HP Neverstop Laser 1001nw Printer:EUR,"110,21",5HG80A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,DU,RUBY,HP OfficeJet 200 series Batter,M9L89A,HP OfficeJet 200 Series Battery,"21,77",M9L89A,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IR,Colossus 3:1 base,HP Neverstop Laser MFP 1200w,4RY26A,HP Neverstop Laser MFP 1200w Printer:EUR,"125,38",4RY26A#B19,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
HPS Printers,IF,LUZON,HP Sprocket Studio,3MP72A,HP Sprocket Studio Snow Printer:EU,"60,53",3MP72A#650,0,Sun 21-Feb 21:08 PST | Mon 22-Feb 05:08 CET | Mon 22-Feb 11:08 SGT
